,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,score
309,0.6,0,0.1,20,5,100,0.0,10,0.3,0.9401156975781261
297,0.6,0,0.1,20,3,100,0.1,10,0.3,0.9399600631304723
3361,1.0,0,0.2,20,1,100,1.0,1,0.4,0.9399345407934627
114,0.6,0,0.05,20,1,100,0.1,1,0.3,0.9398323153905416
144,0.6,0,0.05,20,5,100,0.0,1,0.3,0.9398223123011192
446,0.6,0,0.2,20,1,100,1.0,1,0.5,0.939586869020802
1925,0.8,0,0.2,20,3,100,1.0,10,0.5,0.9394984423791974
3379,1.0,0,0.2,20,3,100,1.0,1,0.4,0.939395367394404
3029,1.0,0,0.05,20,1,100,0.0,10,0.5,0.9392948722515895
1590,0.8,0,0.05,20,3,100,0.1,1,0.3,0.9392540828387667
1773,0.8,0,0.1,20,5,100,0.1,10,0.3,0.9392435008852358
464,0.6,0,0.2,20,3,100,1.0,1,0.5,0.9389402326645891
1943,0.8,0,0.2,20,5,100,1.0,10,0.5,0.9388218194845297
3397,1.0,0,0.2,20,5,100,1.0,1,0.4,0.938658432497701
3047,1.0,0,0.05,20,3,100,0.0,10,0.5,0.9384007786950889
3364,1.0,0,0.2,20,1,100,1.0,10,0.4,0.9383993706976712
482,0.6,0,0.2,20,5,100,1.0,1,0.5,0.9382625731268133
1571,0.8,0,0.05,20,1,100,0.0,10,0.5,0.9381359191994314
132,0.6,0,0.05,20,3,100,0.1,1,0.3,0.9380131214013853
3200,1.0,0,0.1,20,1,100,1.0,1,0.5,0.9378763348474983
3382,1.0,0,0.2,20,3,100,1.0,10,0.4,0.9378684846974232
1903,0.8,0,0.2,20,1,100,1.0,1,0.4,0.9378529383882185
3066,1.0,0,0.05,20,5,100,0.1,1,0.3,0.9378428693861887
449,0.6,0,0.2,20,1,100,1.0,10,0.5,0.9376499713214719
315,0.6,0,0.1,20,5,100,0.1,10,0.3,0.9376437507135187
467,0.6,0,0.2,20,3,100,1.0,10,0.5,0.9375381368358247
113,0.6,0,0.05,20,1,100,0.0,10,0.5,0.9373971683683872
1921,0.8,0,0.2,20,3,100,1.0,1,0.4,0.9372584857612425
3218,1.0,0,0.1,20,3,100,1.0,1,0.5,0.9372494085960827
1589,0.8,0,0.05,20,3,100,0.0,10,0.5,0.9371404130116814
3400,1.0,0,0.2,20,5,100,1.0,10,0.4,0.9369451185782444
3035,1.0,0,0.05,20,1,100,0.1,10,0.5,0.9369243319633078
1939,0.8,0,0.2,20,5,100,1.0,1,0.4,0.9365909970077191
485,0.6,0,0.2,20,5,100,1.0,10,0.5,0.936570356170383
3236,1.0,0,0.1,20,5,100,1.0,1,0.5,0.9364014619913237
3065,1.0,0,0.05,20,5,100,0.0,10,0.5,0.9363067333486935
1608,0.8,0,0.05,20,5,100,0.1,1,0.3,0.9362151398355609
1906,0.8,0,0.2,20,1,100,1.0,10,0.4,0.9360139952581878
1742,0.8,0,0.1,20,1,100,1.0,1,0.5,0.9358798638393591
131,0.6,0,0.05,20,3,100,0.0,10,0.5,0.9357490049278278
3053,1.0,0,0.05,20,3,100,0.1,10,0.5,0.9357441070220476
1924,0.8,0,0.2,20,3,100,1.0,10,0.4,0.9354732258521512
445,0.6,0,0.2,20,1,100,1.0,1,0.4,0.9353137324167571
150,0.6,0,0.05,20,5,100,0.1,1,0.3,0.9351754315517562
1577,0.8,0,0.05,20,1,100,0.1,10,0.5,0.9350628190875119
1760,0.8,0,0.1,20,3,100,1.0,1,0.5,0.9350306003393205
1607,0.8,0,0.05,20,5,100,0.0,10,0.5,0.9349468947819123
463,0.6,0,0.2,20,3,100,1.0,1,0.4,0.9347540335216907
3203,1.0,0,0.1,20,1,100,1.0,10,0.5,0.934656701575177
3028,1.0,0,0.05,20,1,100,0.0,10,0.4,0.9346421302297838
1942,0.8,0,0.2,20,5,100,1.0,10,0.4,0.9345997759697484
3360,1.0,0,0.2,20,1,100,1.0,1,0.3,0.9344936264528274
149,0.6,0,0.05,20,5,100,0.0,10,0.5,0.9342237985542321
1595,0.8,0,0.05,20,3,100,0.1,10,0.5,0.9341888292754632
3071,1.0,0,0.05,20,5,100,0.1,10,0.5,0.9341318237003818
1778,0.8,0,0.1,20,5,100,1.0,1,0.5,0.9341085776456968
119,0.6,0,0.05,20,1,100,0.1,10,0.5,0.9340157069916032
481,0.6,0,0.2,20,5,100,1.0,1,0.4,0.9338928222918316
3378,1.0,0,0.2,20,3,100,1.0,1,0.3,0.9338919747692465
3221,1.0,0,0.1,20,3,100,1.0,10,0.5,0.9338758474634885
3199,1.0,0,0.1,20,1,100,1.0,1,0.4,0.9336421639120095
448,0.6,0,0.2,20,1,100,1.0,10,0.4,0.9333815702934778
1570,0.8,0,0.05,20,1,100,0.0,10,0.4,0.9333622370722463
284,0.6,0,0.1,20,1,100,1.0,1,0.5,0.9332476764682818
3046,1.0,0,0.05,20,3,100,0.0,10,0.4,0.9331804752687575
3396,1.0,0,0.2,20,5,100,1.0,1,0.3,0.9330803259572669
466,0.6,0,0.2,20,3,100,1.0,10,0.4,0.932823337211215
3239,1.0,0,0.1,20,5,100,1.0,10,0.5,0.9327478101746991
3217,1.0,0,0.1,20,3,100,1.0,1,0.4,0.9327454459715334
137,0.6,0,0.05,20,3,100,0.1,10,0.5,0.9326567054577252
112,0.6,0,0.05,20,1,100,0.0,10,0.4,0.932515569806703
3363,1.0,0,0.2,20,1,100,1.0,10,0.3,0.9324813699997148
302,0.6,0,0.1,20,3,100,1.0,1,0.5,0.9324781484018964
1613,0.8,0,0.05,20,5,100,0.1,10,0.5,0.9324137532643864
484,0.6,0,0.2,20,5,100,1.0,10,0.4,0.93203402636825
1902,0.8,0,0.2,20,1,100,1.0,1,0.3,0.932021725886691
3381,1.0,0,0.2,20,3,100,1.0,10,0.3,0.931840189255194
1588,0.8,0,0.05,20,3,100,0.0,10,0.4,0.9317665838604817
3034,1.0,0,0.05,20,1,100,0.1,10,0.4,0.9317283305461439
3235,1.0,0,0.1,20,5,100,1.0,1,0.4,0.9316630972107607
1745,0.8,0,0.1,20,1,100,1.0,10,0.5,0.9316518694952738
320,0.6,0,0.1,20,5,100,1.0,1,0.5,0.9314810711176346
1920,0.8,0,0.2,20,3,100,1.0,1,0.3,0.9313401409890945
1763,0.8,0,0.1,20,3,100,1.0,10,0.5,0.9313340890456796
3399,1.0,0,0.2,20,5,100,1.0,10,0.3,0.9308485258093789
155,0.6,0,0.05,20,5,100,0.1,10,0.5,0.9307153006490612
1741,0.8,0,0.1,20,1,100,1.0,1,0.4,0.9306693214100781
3052,1.0,0,0.05,20,3,100,0.1,10,0.4,0.9306232112669142
3064,1.0,0,0.05,20,5,100,0.0,10,0.4,0.9306216432728492
130,0.6,0,0.05,20,3,100,0.0,10,0.4,0.9305575654939802
1938,0.8,0,0.2,20,5,100,1.0,1,0.3,0.930346220488064
1781,0.8,0,0.1,20,5,100,1.0,10,0.5,0.9303210422057479
1576,0.8,0,0.05,20,1,100,0.1,10,0.4,0.929957895002927
1759,0.8,0,0.1,20,3,100,1.0,1,0.4,0.929927124511881
1905,0.8,0,0.2,20,1,100,1.0,10,0.3,0.9298827012436043
1606,0.8,0,0.05,20,5,100,0.0,10,0.4,0.9297652516744954
3202,1.0,0,0.1,20,1,100,1.0,10,0.4,0.9296369747112483
